SUB_QUADRO,SEQ,V9001,V5302,V53021,V5304,V5307,V53011,V53061,id,nova
1,1,5300501,5,,,1,1420,48042,1.100054E13,0
1,1,5300601,6,,,1,1420,56011,1.100054E13,0
1,1,5300301,3,,2,1,9329,56011,1.100054E13,0
1,1,5300501,5,,,1,1324,49040,1.100054E13,0
1,1,5300301,3,,1,1,5223,48042,1.100054E13,0
1,1,5300501,5,,,1,1345,85029,1.100054E13,0
1,1,5300301,3,,2,1,4120,85029,1.100054E13,0
1,1,5300301,3,,2,1,9313,41000,1.100054E13,0
1,1,5300601,6,,,1,5142,96020,1.100054E13,0
1,1,5300501,5,,,1,5221,48030,1.100054E13,0
1,1,5300501,5,,,1,5221,48030,1.100054E13,0
1,1,5300301,3,,1,1,0,74000,1.100054E13,0
1,1,5300301,3,,2,1,5142,96020,1.100054E13,0
1,1,5300601,6,,,1,6111,1109,1.100054E13,0
1,1,5300601,6,,,1,6111,1102,1.100054E13,0
1,1,5300401,4,,,1,5312,85012,1.100054E13,0
1,1,5300601,6,,,1,6121,1201,1.1002004E13,0
1,1,5300701,7,1,,,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6121,1201,1.1002004E13,0
1,1,5300301,3,,2,1,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6111,1113,1.1002004E13,0
1,1,5300701,7,1,,,6111,1113,1.1002004E13,0
1,1,5300601,6,,,1,6111,1109,1.1002004E13,0
1,1,5300701,7,1,,,6111,1109,1.1002004E13,0
1,1,5300601,6,,,1,6111,1113,1.1002004E13,0
1,1,5300701,7,1,,,6111,1113,1.1002004E13,0
1,1,5300601,6,,,1,6111,1113,1.1002004E13,0
1,1,5300601,6,,,1,6111,1109,1.1002004E13,1
2,1,5300601,6,,,1,,,1.1002004E13,1
1,1,5300301,3,,2,1,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6121,1201,1.1002004E13,2
1,1,5300601,6,,,1,6121,1201,1.1002004E13,1
2,1,5300601,6,,,1,,,1.1002004E13,2
2,2,5300301,3,,2,1,,,1.1002004E13,2
2,1,5300601,6,,,1,,,1.1002004E13,1
1,1,5300701,7,1,,,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6121,1201,1.1002004E13,0
1,1,5300701,7,1,,,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6121,1201,1.1002004E13,0
1,1,5300701,7,1,,,6121,1201,1.1002004E13,0
1,1,5300701,7,1,,,6121,1201,1.1002004E13,0
1,1,5300601,6,,,1,6111,1113,1.1002004E13,1
1,1,5300701,7,1,,,6111,1113,1.1002004E13,0
2,1,5300601,6,,,1,,,1.1002004E13,1
1,1,5300601,6,,,1,6111,1113,1.1002004E13,0
1,1,5300601,6,,,2,7317,32001,1.1001721E13,1
2,1,5300601,6,,,1,,,1.1001721E13,1
1,1,5300101,1,,1,1,9111,97000,1.1001721E13,0
1,1,5300601,6,,,1,7533,14001,1.1001721E13,0
1,1,5300301,3,,1,1,5153,81011,1.1001721E13,0
1,1,5300401,4,,,1,5329,86001,1.1001721E13,0
1,1,5300601,6,,,1,2359,85029,1.1001721E13,0
1,1,5300101,1,,2,1,9111,97000,1.1001721E13,1
2,1,5300101,1,,2,1,,,1.1001721E13,1
1,1,5300401,4,,,1,3412,84012,1.1001721E13,0
